,Unnamed: 0,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD
108,108,2016,Albania,43.7,51.1,51.1,All,230.0,0.00961,2.2103
109,109,2016,Algeria,11.2,14.7,19.1,DZD,210.0,0.00733,1.5393
110,110,2016,Andorra,27.9,33.9,33.9,EUR,3.5,1.168889,4.0911115
111,111,2016,Austria,28.5,30.7,30.7,EUR,5.0,1.168889,5.844445
112,112,2016,Belgium,23.8,25.5,25.5,EUR,6.32,1.168889,7.387378480000001
113,113,2016,Cyprus,30.4,37.1,37.1,EUR,4.2,1.168889,4.909333800000001
114,114,2016,Estonia,28.3,31.5,31.5,EUR,3.8,1.168889,4.4417782
115,115,2016,Finland,18.1,20.4,20.4,EUR,6.12,1.168889,7.15360068
116,116,2016,France,31.5,34.6,34.6,EUR,7.0,1.168889,8.182223
117,117,2016,Germany,26.5,28.6,28.6,EUR,6.0,1.168889,7.013334
118,118,2016,Greece,36.5,40.2,40.2,EUR,4.0,1.168889,4.675556
119,119,2016,Ireland,22.1,24.6,24.6,EUR,10.8,1.168889,12.624001200000002
120,120,2016,Italy,23.1,23.6,23.6,EUR,5.2,1.168889,6.078222800000001
121,121,2016,Latvia,32.8,37.1,37.1,EUR,3.0,1.168889,3.506667
122,122,2016,Lithuania,25.4,28.0,28.0,EUR,3.1,1.168889,3.6235559
123,123,2016,Luxembourg,20.4,22.5,22.5,EUR,5.2,1.168889,6.078222800000001
124,124,2016,Malta,23.1,25.9,25.9,EUR,5.3,1.168889,6.1951117
125,125,2016,Netherlands,20.8,24.3,24.3,EUR,6.63,1.168889,7.749734070000001
126,126,2016,Portugal,24.5,27.5,27.5,EUR,4.8,1.168889,5.6106672
127,127,2016,Slovakia,27.0,32.1,32.1,EUR,3.1,1.168889,3.6235559
128,128,2016,Slovenia,21.2,23.0,23.0,EUR,3.5,1.168889,4.0911115
129,129,2016,Spain,26.7,28.8,28.8,EUR,4.85,1.168889,5.66911165
130,130,2016,Argentina,20.5,22.7,23.6,ARS,40.0,0.010153,0.40612
131,131,2016,Armenia,25.8,27.5,27.5,AMD,600.0,0.002035,1.221
132,132,2016,Australia,12.2,14.9,17.1,AUD,21.0,0.724257,15.209397
133,133,2016,Kiribati,43.0,53.5,53.5,AUD,6.0,0.724257,4.345542
134,134,2016,Nauru,38.7,47.4,53.9,AUD,11.0,0.724257,7.966827
135,135,2016,Tuvalu,31.4,38.4,50.0,AUD,3.5,0.724257,2.5348995000000003
136,136,2016,Azerbaijan,16.3,20.3,20.3,AZN,2.8,0.588322,1.6473016
137,137,2016,Bangladesh,18.5,21.7,40.1,BDT,50.0,0.011682,0.5841
138,138,2016,Barbados,10.2,2.1,2.4,BBD,15.0,0.500221,7.503315000000001
139,139,2016,Benin,4.3,11.8,2.2,XOF,500.0,0.001782,0.891
140,140,2016,Burkina Faso,10.1,2.1,25.6,XOF,650.0,0.001782,1.1583
141,141,2016,Côte d’Ivoire,10.5,12.8,13.4,XOF,700.0,0.001782,1.2474
142,142,2016,Mali,18.0,12.1,12.1,XOF,800.0,0.001782,1.4256
143,143,2016,Niger,12.2,14.0,15.9,XOF,500.0,0.001782,0.891
144,144,2016,Senegal,13.0,15.1,18.2,XOF,500.0,0.001782,0.891
145,145,2016,Togo,10.5,13.9,14.0,XOF,500.0,0.001782,0.891
146,146,2016,Bosnia and Herzegovina,31.5,39.1,39.1,BAM,4.5,0.597667,2.6895014999999995
147,147,2016,Botswana,25.8,33.1,24.3,BWP,33.33,0.088446,2.94790518
148,148,2016,Brazil,16.2,14.2,17.8,BRL,6.24,0.184339,1.15027536
149,149,2016,Burundi,14.9,2.3,19.6,BIF,1600.0,0.000503,0.8048
150,150,2016,Cambodia,2.1,2.3,40.1,KHR,2000.0,0.000244,0.488
151,151,2016,Cameroon,14.9,14.9,17.5,XAF,500.0,0.001782,0.891
152,152,2016,Chad,12.4,17.9,2.6,XAF,750.0,0.001782,1.3365
153,153,2016,Congo,11.3,12.0,2.1,XAF,650.0,0.001782,1.1583
154,154,2016,Canada,13.6,14.1,19.1,CAD,10.29,0.78862,8.1148998
155,155,2016,Chile,35.0,45.5,45.5,CLP,2178.0,0.001248,2.718144
156,156,2016,China,23.2,25.1,25.1,CNY,12.84,0.154878,1.98863352
157,157,2016,Colombia,3.7,4.1,4.1,COP,2726.0,0.00026,0.70876
158,158,2016,Comoros,19.2,23.3,20.9,KMF,750.0,0.002373,1.7797500000000002
159,159,2016,Cook Islands,22.4,28.0,28.0,NZD,21.7,0.696079,15.1049143
160,160,2016,New Zealand,15.2,16.0,16.0,NZD,21.6,0.696079,15.0353064
161,161,2016,Costa Rica,4.9,15.6,15.6,CRC,1700.0,0.001599,2.7183
162,162,2016,Croatia,32.7,36.3,36.3,HRK,24.0,0.155857,3.740568
163,163,2016,Cuba,20.6,28.6,28.6,CUP,7.0,0.038857,0.271999
164,164,2016,Czechia,27.1,31.9,31.9,CZK,84.0,0.045853,3.851652
165,165,2016,Democratic People's Republic of Korea,15.7,19.0,19.0,KPW,216.5,0.001112,0.240748
166,166,2016,Denmark,18.2,20.0,20.0,DKK,44.0,0.157227,6.917988
167,167,2016,Dominican Republic,5.3,12.0,12.0,DOP,150.0,0.017748,2.6622
168,168,2016,Egypt,17.8,21.3,21.3,EGP,10.0,0.06371,0.6371
169,169,2016,El Salvador,15.9,19.1,2.7,USD,2.0,1.0,2.0
170,170,2016,Palau,23.3,29.2,24.7,USD,6.75,1.0,6.75
171,171,2016,Timor-Leste,5.0,39.9,39.9,USD,1.5,1.0,1.5
172,172,2016,United States of America,17.9,20.8,25.7,USD,6.43,1.0,6.43
173,173,2016,Zimbabwe,11.4,14.3,14.3,USD,1.75,1.0,1.75
174,174,2016,Eritrea,4.9,11.7,15.0,ERN,100.0,0.066693,6.6693
175,175,2016,Eswatini,15.1,16.3,19.1,SZL,36.0,0.066486,2.3934960000000003
176,176,2016,Ethiopia,3.0,3.5,4.8,ETB,15.0,0.0216,0.324
177,177,2016,Fiji,35.1,27.1,27.1,FJD,12.0,0.476915,5.72298
178,178,2016,Gambia,11.8,15.7,15.0,GMD,40.0,0.019428,0.77712
179,179,2016,Georgia,4.9,5.3,5.3,GEL,2.5,0.321734,0.804335
180,180,2016,Ghana,2.8,3.7,3.9,GHS,4.99,0.165981,0.82824519
181,181,2016,Guyana,2.4,2.4,2.4,GYD,350.0,0.004788,1.6758
182,182,2016,Iceland,11.9,15.0,15.0,ISK,1271.0,0.0078,9.9138
183,183,2016,India,12.2,12.1,28.8,INR,158.0,0.013485,2.13063
184,184,2016,Indonesia,30.9,30.9,6.0,IDR,21667.0,7e-05,1.51669
185,185,2016,Iran (Islamic Republic of),17.5,11.2,25.5,IRR,18000.0,2.4e-05,0.432
186,186,2016,Iraq,14.4,2.8,3.9,IQD,500.0,0.000685,0.3424999999999999
187,187,2016,Israel,22.3,26.0,26.0,ILS,35.6,0.311685,11.095986
188,188,2016,Jamaica,3.7,18.7,18.7,JMD,990.3,0.006768,6.702350399999999
189,189,2016,Japan,22.1,22.8,22.8,JPY,440.0,0.00897,3.9468
190,190,2016,Kazakhstan,40.5,43.7,43.7,KZT,290.0,0.002355,0.68295
191,191,2016,Kenya,17.2,10.8,21.8,KES,130.0,0.009055,1.17715
192,192,2016,Kuwait,15.0,2.4,3.6,KWD,0.75,3.319902,2.4899265
193,193,2016,Kyrgyzstan,3.0,3.5,3.5,KGS,55.0,0.011799,0.648945
194,194,2016,Lao People's Democratic Republic,41.5,50.3,39.9,LAK,7000.0,0.000101,0.707
195,195,2016,Lebanon,26.5,34.0,42.6,LBP,3250.0,0.000659,2.14175
196,196,2016,Liberia,13.8,14.1,2.0,LRD,60.0,0.00585,0.351
197,197,2016,Madagascar,15.1,21.0,30.0,MGA,4000.0,0.000252,1.008
198,198,2016,Mauritius,3.3,3.8,49.1,MUR,130.0,0.023443,3.04759
199,199,2016,Mexico,20.7,22.5,22.5,MXN,47.39,0.049186,2.3309245400000003
